,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,isUSMarketOpen,lastTradeTime,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,previousVolume,primaryExchange,symbol,volume,week52High,week52Low,ytdChange
756,2531291,close,0.13,0.0314,4.27,1572638530860,"RPC, Inc.",4.27,1572639000008,0,0,4.27,1572647400008,4.3,,,,,,,,,,False,1572638399939,4.27,Close,"November 1, 2019",1572638530860,2237067,4.12,916252330,4.18,1572615000486,-17.77,4.14,1257766,New York Stock Exchange,RES,2237067,15.23,4.05,-0.555641
757,1024215,close,0.72,0.02566,28.78,1572638400647,Bank OZK,28.78,1572638400642,0,0,28.78,1572642000042,28.82,,,,,,,,,,False,1572638400642,28.78,Close,"November 1, 2019",1572638400647,683822,28.2,3701136780,28.38,1572615000201,8.41,28.06,1900683,NASDAQ,OZK,683822,34.34,21.02,0.266177
758,1928281,close,0.19,0.03074,6.37,1572638561504,"Conduent, Inc.",6.37,1572639000007,0,0,6.37,1572647400006,6.515,,,,,,,,,,False,1572638399516,6.37,Close,"November 1, 2019",1572638561504,1804833,6.15,1346172100,6.25,1572615000412,-0.77,6.18,1766720,New York Stock Exchange,CNDT,1804833,19.41,5.26,-0.37670200000000004
759,276329,close,0.35,0.00396,88.83,1572638520422,"Choice Hotels International, Inc.",88.83,1572639000006,0,0,88.83,1572647400004,89.74,,,,,,,,,,False,1572638397657,88.83,Close,"November 1, 2019",1572638520422,284813,88.63,4947564510,89.02,1572615000396,23.04,88.48,350225,New York Stock Exchange,CHH,284813,94.78,66.71,0.248775
760,552451,close,0.02,0.0004,50,1572638520431,"American Campus Communities, Inc.",50,1572639000003,0,0,50,1572647400001,50.29,,,,,,,,,,False,1572638399714,50,Close,"November 1, 2019",1572638520431,502925,49.57,13740200000,50,1572615000385,64.39,49.98,717913,New York Stock Exchange,ACC,502925,50.94,38.91,0.24450000000000002
761,2152887,close,0.92,0.02029,46.27,1572638603575,"CF Industries Holdings, Inc.",46.27,1572639000005,0,0,46.27,1572647400004,46.33,,,,,,,,,,False,1572638399100,46.27,Close,"November 1, 2019",1572638603575,2677038,44.99,10086860000,45.49,1572615000413,21.09,45.35,4872136,New York Stock Exchange,CF,2677038,55.15,38.9,0.12117
762,5327743,close,0.48,0.01651,29.56,1572638400642,Fifth Third Bancorp,29.56,1572638400600,0,0,29.56,1572645924704,29.57,,,,,,,,,,False,1572638400600,29.56,Close,"November 1, 2019",1572638400642,5161731,29.21,21241313480,29.35,1572615000242,9.49,29.08,7915031,NASDAQ,FITB,5161731,30.2,22.12,0.237998
763,278669,close,1.32,0.01269,105.36,1572638520393,"American Financial Group, Inc.",105.36,1572639000002,0,0,105.36,1572647400002,105.745,,,,,,,,,,False,1572638399935,105.36,Close,"November 1, 2019",1572638520393,279578,104.2,9495780720,104.57,1572615000384,,104.04,338217,New York Stock Exchange,AFG,279578,109.8,84.18,0.19029000000000001
764,697142,close,-0.28,-0.00146,191.89,1572638520444,"Burlington Stores, Inc.",191.89,1572639000009,0,0,191.89,1572647400009,194.73,,,,,,,,,,False,1572638399934,191.89,Close,"November 1, 2019",1572638520444,865076,189.91,12716742190,193.97,1572615000359,30.19,192.17,667356,New York Stock Exchange,BURL,865076,209.36,136.3,0.19664
765,1137813,close,-4.48,-0.06355,66.02,1572638656874,"Live Nation Entertainment, Inc.",66.02,1572639000006,0,0,66.02,1572647400005,68.11,,,,,,,,,,False,1572638399991,66.02,Close,"November 1, 2019",1572638656874,5324533,64.78,14095864180,67.72,1572615267315,1671.39,70.5,1568130,New York Stock Exchange,LYV,5324533,73.71,46.02,0.303041
