NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
Expeditors International,Transportation,47.37,603,18,47.08,51.85,50.99,46.95,58.17,52.84,35.83
Penske Automotive,Retail,47.35,604,18,41.77,43.76,47.41,47.78,49.97,52.84,48.02
Grubhub,Retail,47.33,605,19,38.57,35.06,51.87,60.86,50.85,52.84,46.44
Continental Resources,Oil & Gas,47.3,606,36,41.87,51.85,40.44,48.45,40.59,56.56,46.18
21St Century Fox,Media,47.29,607,15,38.59,58.87,52.75,46.66,30.24,52.84,42.61
Booking Holdings,Restaurants & Leisure,47.28,608,15,44.36,58.33,47.43,52.66,40.67,49.12,39.01
Terex Corp,Commercial Vehicles & Machinery,47.27,609,18,45.1,49.02,41.02,43.95,51.2,52.84,47.27
Mohawk Industries,Household Goods & Apparel,47.26,610,21,47.11,49.83,70.46,47.48,52.59,36.24,38.04
Berkshire Hathaway,Insurance,47.24,611,29,37.49,45.78,46.99,75.08,42.02,49.71,39.17
Costar Group,Commercial Support Services,47.21,612,22,38.57,59.6,46.55,44.3,41.92,52.84,42.32
Sealed Air,Building Materials & Packaging,47.2,613,16,38.25,53.47,45.12,43.09,53.68,52.84,44.25
First Hawaiian,Banks,47.18,614,31,45.73,34.25,53.61,44.77,48.77,52.84,51.04
Lazard,Capital Markets,47.18,615,27,38.57,41.95,50.11,44.65,50.42,52.84,49.97
Athenahealth,Software,47.16,616,34,45.56,36.68,50.03,51.14,44.78,52.84,49.34
Autozone,Retail,47.15,617,20,52.13,59.95,50.04,56.22,55.51,52.84,23.77
Post Holdings,Food,47.15,618,20,43.31,58.13,39.07,44.69,49.09,56.56,40.22
Energizer Holdings,Personal Products,47.13,619,7,52.61,51.04,43.34,40.31,53.38,52.84,41.89
Kroger,Food & Drug Retailers,47.07,620,7,72.1,56.69,53.37,74.94,57.36,25.7,21.52
Firstenergy,Utilities,47.05,621,33,40.99,51.04,22.09,45.34,57.96,56.56,51.46
Idex Corp,Commercial Vehicles & Machinery,47.01,622,19,45.77,53.47,45.56,44.24,57.86,52.84,38.04
DXC Technology,Computer Services,46.97,623,14,53.12,53.33,57.97,53.71,34.77,52.84,31.28
Adient Plc,Automobiles & Parts,46.96,624,10,54.33,54.47,34.97,48.26,45.92,52.84,40.89
CoreLogic,Commercial Support Services,46.95,625,23,38.57,43.35,51.77,45.99,56.96,52.84,44.37
Hawaiian Electric Industrial,Utilities,46.93,626,34,50.36,52.26,37.77,44.28,50.94,39.96,50.47
Marvell Technology Group,Semiconductors & Equipment,46.91,627,22,51.33,50.64,45.51,43.5,29.39,52.84,47.03
Targa Resources,Oil & Gas,46.89,628,37,38.57,52.66,36.15,47.52,33.81,56.56,50.27
Aon Plc,Insurance,46.89,629,30,46.07,37.49,50.08,47.63,50.8,52.84,47.15
Old Dominion Freight Line,Transportation,46.88,630,19,41.34,46.59,40.93,50.67,47.87,52.84,46.9
John Wiley & Sons,Media,46.88,631,16,44.09,52.15,47.39,44.33,52.17,52.84,40.09
Tyson Foods,Food,46.87,632,21,75.75,57.72,53.3,59.99,48.66,35.65,22.82
Jefferies Financial,Capital Markets,46.87,633,28,44.09,42.96,50.61,45.34,38.76,52.84,48.85
Textron,Aerospace & Defense,46.86,634,13,39.4,45.78,64.88,47.87,57.98,28.29,48.23
Murphy Oil,Oil & Gas,46.85,635,38,45.46,50.64,35.55,42.1,54.41,56.56,44.79
Interactive Brokers,Capital Markets,46.85,636,29,38.57,42.95,50.12,45.02,38.45,52.84,51.69
Total System Services,Commercial Support Services,46.85,637,24,46.81,38.3,56.29,45.03,48.15,52.84,45.03
Hyatt Hotels Corp,Restaurants & Leisure,46.85,638,16,46.99,60.63,51.99,47.1,50.43,52.84,29.45
Flowserve Corp,Commercial Vehicles & Machinery,46.84,639,20,53.08,48.21,50.93,43.17,38.19,52.84,42.19
Curtiss Wright,Aerospace & Defense,46.82,640,14,43.51,49.43,43.62,44.1,52.45,49.12,46.2
Advance Auto Parts,Retail,46.81,641,21,38.57,66.82,50.92,53.26,52.82,52.84,25.24
AO Smith,Building Materials & Packaging,46.8,642,17,52.42,44.97,39.88,47.22,46.48,44.66,50.43
Harris Corp,Technology Hardware,46.78,643,14,48.95,47.0,45.58,43.2,50.18,52.84,43.37
PBF Energy,Oil & Gas,46.77,644,39,38.57,52.66,33.56,45.15,48.09,56.56,47.58
Ionis Pharmaceuticals,Pharmaceuticals & Biotech,46.77,645,40,38.57,48.62,52.7,49.31,31.49,56.56,43.93
Graphic Packaging Holdings,Building Materials & Packaging,46.76,646,18,40.36,50.64,41.99,46.22,53.83,52.84,43.59
Under Armour,Household Goods & Apparel,46.72,647,22,63.02,49.83,34.19,57.83,44.56,45.4,39.98
Ralph Lauren Corp,Household Goods & Apparel,46.71,648,23,51.9,62.58,48.32,45.32,43.42,45.4,34.82
Kinder Morgan,Energy Equipment & Services,46.7,649,8,37.32,49.02,26.41,44.69,53.3,52.84,54.86
Lincoln Electric,Commercial Vehicles & Machinery,46.68,650,21,41.51,57.12,43.41,44.47,50.76,52.84,39.3
Ubiquiti Networks,Technology Hardware,46.68,651,15,43.84,52.26,45.71,50.56,31.5,52.84,43.9
Allison Transmission,Commercial Vehicles & Machinery,46.66,652,22,39.09,50.23,47.32,43.65,51.84,52.84,43.18
United States Cellular,Telecommunications,46.65,653,6,40.58,48.01,42.9,42.91,37.23,52.84,51.58
GCI Liberty,Consumer & Diversified Finance,46.64,654,14,43.52,43.06,47.48,45.95,36.7,52.84,50.1
Vail Resorts,Restaurants & Leisure,46.62,655,17,47.13,44.16,54.77,48.17,56.63,52.84,36.19
Zayo Group,Telecommunications,46.56,656,7,38.57,64.19,46.47,43.29,42.51,52.84,36.73
Sirius XM,Media,46.55,657,17,38.57,56.31,47.46,49.71,45.43,52.84,37.69
First Citizens Bancshares,Banks,46.55,658,32,38.57,49.94,53.62,44.89,46.75,52.84,40.96
Heico Corp,Aerospace & Defense,46.53,659,15,36.74,48.93,38.71,44.93,48.0,52.84,49.73
JB Hunt,Transportation,46.52,660,20,41.87,49.83,42.67,51.63,52.33,52.84,40.03
Univar,Chemicals,46.5,661,18,54.48,50.49,53.6,43.85,39.87,49.12,38.43
Apartment Investment & Management,Real Estate,46.47,662,22,38.57,48.62,46.7,40.49,53.0,52.84,45.3
Nuance Communications,Software,46.47,663,35,33.83,49.43,54.48,40.83,49.62,52.84,43.67
SL Green Realty,Real Estate,46.44,664,23,41.87,53.47,54.4,43.65,33.68,52.84,41.09
H&R Block,Retail,46.43,665,22,44.92,52.66,48.29,46.18,58.55,52.84,34.04
Carnival Corp,Restaurants & Leisure,46.43,666,18,61.96,45.38,47.05,52.15,39.6,43.24,41.43
Lamb Weston Holdings,Food,46.42,668,23,44.5,54.86,40.02,46.05,62.23,48.38,38.38
Air Lease,Transportation,46.41,669,21,38.57,52.45,43.08,49.93,50.81,52.84,40.27
M & T Bank,Banks,46.41,670,33,48.62,32.37,53.61,46.02,37.94,52.84,50.95
Sterling Bancorp,Banks,46.41,671,34,46.28,53.07,53.64,40.88,54.33,52.84,34.28
Mylan,Pharmaceuticals & Biotech,46.39,672,41,52.5,51.85,53.53,45.81,31.99,15.31,59.4
Hubbell,Industrial Goods,46.37,673,30,45.83,46.19,42.88,45.07,49.64,52.84,44.31
Tribune Media,Media,46.36,674,18,44.97,48.21,47.33,43.31,52.99,52.84,40.66
UGI Corp,Utilities,46.35,675,35,45.73,50.23,37.83,44.27,55.81,56.56,40.2
Ulta Beauty,Retail,46.31,676,23,42.24,57.93,47.43,59.02,63.09,52.84,23.57
Grand Canyon Education,Retail,46.28,677,24,38.57,44.57,43.61,53.93,52.98,52.84,42.41
RingCentral,Software,46.28,678,36,38.57,36.68,51.85,65.4,44.32,52.84,40.92
Royal Gold,Basic Resources,46.28,679,8,38.57,47.4,37.68,43.34,59.2,52.84,46.61
Integra Lifesciences,Health Care Equipment & Services,46.23,680,26,41.98,50.17,50.08,45.32,52.17,64.0,31.31
Tractor Supply Co,Retail,46.21,681,25,49.11,48.21,52.55,53.18,62.8,52.84,27.42
News Corp,Media,46.2,682,19,42.68,48.88,54.42,45.09,43.79,36.24,48.71
DR Horton,Household Goods & Apparel,46.16,683,24,38.57,51.85,46.58,56.02,48.04,52.84,35.76
Lennar Corp,Household Goods & Apparel,46.12,684,25,40.22,50.23,45.66,53.19,45.38,52.84,38.78
BWX Technologies,Aerospace & Defense,46.12,685,16,36.2,52.66,32.33,41.64,55.03,49.12,50.41
Fastenal,Commercial Support Services,46.12,686,25,46.69,44.97,46.41,46.8,54.0,52.84,39.65
Santander Consumer,Consumer & Diversified Finance,46.09,687,15,40.22,44.97,50.13,48.18,29.7,52.84,47.74
FNB Corp,Banks,46.09,688,35,38.57,49.94,53.6,45.63,45.98,52.84,38.99
Epam Systems,Computer Services,46.07,689,15,40.39,44.23,51.81,43.36,44.31,52.84,44.78
Goodyear Tire & Rubber,Automobiles & Parts,46.05,690,11,59.11,62.78,51.28,46.77,47.21,23.07,38.5
Wabco Holdings,Automobiles & Parts,46.04,691,12,38.0,51.45,46.45,50.23,49.62,52.84,38.22
Westlake Chemical,Chemicals,46.02,692,19,38.39,49.43,25.17,44.91,41.38,49.12,58.01
Lamar Advertising,Real Estate,45.98,693,24,38.57,45.38,47.44,45.41,44.22,52.84,45.69
Harley Davidson,Automobiles & Parts,45.98,694,13,47.49,43.76,32.6,45.29,54.97,52.84,47.21
Simon Property Group,Real Estate,45.97,695,25,41.87,50.23,54.23,43.57,50.55,52.84,36.05
CH Robinson,Transportation,45.96,696,22,49.03,49.02,45.68,45.39,59.26,52.84,34.47
SLM Corp,Banks,45.96,697,36,41.32,35.06,50.11,46.91,35.87,52.84,52.41
Yum! Brands,Restaurants & Leisure,45.91,698,19,53.23,57.12,54.48,47.38,62.91,31.59,32.38
NCR Corp,Technology Hardware,45.91,699,16,42.2,52.26,33.11,45.2,47.37,52.84,45.44
Dolby Laboratories,Media,45.91,700,20,38.79,43.35,46.25,47.7,53.77,52.84,43.1
Premier Inc,Software,45.91,701,37,42.16,41.54,51.8,49.57,23.06,52.84,49.23
Lululemon Athletica,Household Goods & Apparel,45.89,702,26,33.15,49.63,50.99,56.61,57.22,20.85,51.75
CDK Global,Software,45.88,703,38,49.13,41.29,51.83,46.38,56.61,52.84,36.77
Honeywell International,Industrial Goods,45.86,704,31,53.69,52.66,37.88,49.37,53.18,43.67,38.91
MSC Industrial Direct,Commercial Support Services,45.85,705,26,52.46,49.02,43.82,44.74,48.58,52.84,37.3
Fortive Corporation,Industrial Goods,45.84,706,32,51.21,45.38,44.62,46.43,45.61,52.84,40.16
Caseys General Stores,Food & Drug Retailers,45.84,707,8,46.29,55.09,42.92,52.18,61.81,52.47,28.28
WR Berkley ,Insurance,45.83,708,31,39.67,38.3,47.48,45.47,44.19,52.84,49.61
American Water Works,Utilities,45.83,709,36,50.05,46.19,30.94,44.93,63.67,52.84,41.94
White Mountains Insurance,Insurance,45.8,710,32,38.57,50.4,47.45,49.75,39.17,52.84,40.87
Essex Property Trust,Real Estate,45.72,711,26,38.57,48.62,51.14,44.08,49.91,52.84,39.16
