NAME,JUST_IND,WEIGHTED_SCORE,RANK,IND_RANK,COMM,CUST,ENV,JOBS,LEAD,PROD,WORKER
Microsoft,Software,71.8,1,1,79.45,74.92,87.08,55.56,72.76,32.38,89.16
Intel,Semiconductors & Equipment,71.64,2,1,94.12,76.52,79.41,50.08,70.27,49.24,78.63
Alphabet,Internet,67.74,3,1,59.73,70.69,57.47,74.11,48.1,54.53,85.51
Texas Instruments,Semiconductors & Equipment,67.07,4,2,88.51,50.64,75.29,43.97,57.85,52.84,88.03
International Business Machines,Computer Services,66.76,5,1,88.85,63.8,79.71,65.22,59.33,44.66,68.79
Nvidia,Semiconductors & Equipment,66.13,6,3,76.62,56.91,56.28,48.79,62.15,44.66,95.75
VMware,Software,66.08,7,2,59.99,67.42,76.86,47.81,42.34,52.84,86.77
Procter & Gamble,Personal Products,65.86,8,1,53.55,62.99,72.56,49.33,60.28,52.84,87.39
Adobe Systems,Software,65.24,9,3,68.44,69.05,79.87,49.38,44.89,36.24,85.07
Cisco Systems,Technology Hardware,65.23,10,1,76.82,62.38,57.26,48.52,68.64,52.84,80.81
Humana,Health Care Providers,64.82,11,1,63.28,69.05,57.17,52.64,66.47,67.72,70.21
Accenture,Commercial Support Services,64.53,12,1,71.51,54.07,83.11,51.89,51.34,52.84,76.75
AT&T,Telecommunications,64.43,13,1,69.79,61.51,64.34,71.12,63.79,52.84,67.96
General Motors,Automobiles & Parts,64.39,14,1,79.01,66.66,64.27,59.68,64.7,23.49,82.74
General Mills,Food,64.18,15,1,86.96,62.02,74.19,44.41,70.87,40.19,72.29
Apple,Technology Hardware,64.17,16,2,52.68,74.91,82.45,60.57,59.71,38.6,70.23
Kimberly Clark,Personal Products,63.57,17,2,90.23,53.07,60.31,44.77,60.59,43.48,83.28
ResMed,Health Care Equipment & Services,63.48,18,1,55.58,58.52,73.53,47.22,59.04,64.0,74.4
Biogen,Pharmaceuticals & Biotech,63.41,19,1,69.06,52.66,86.18,45.18,60.74,56.56,70.72
United Parcel Service,Transportation,63.24,20,1,65.58,67.42,73.48,75.42,69.81,52.84,51.84
Keysight Technologies,Industrial Goods,63.01,21,1,67.78,58.52,77.11,45.87,49.59,52.84,75.68
S&P Global,Consumer & Diversified Finance,62.9,22,1,69.68,61.26,79.03,48.28,69.24,52.84,63.77
Colgate Palmolive,Personal Products,62.66,23,3,75.21,60.54,62.02,44.78,70.82,49.12,73.14
Prudential Financial,Insurance,62.65,24,1,71.73,61.96,77.06,46.64,49.41,52.84,69.72
Clorox,Personal Products,62.34,25,4,77.62,63.57,73.9,45.06,71.78,40.57,67.05
3M Co,Industrial Goods,62.23,26,2,80.59,65.62,60.79,48.6,57.94,36.47,75.88
UnitedHealth Group,Health Care Providers,61.97,27,2,50.36,61.56,55.01,73.22,61.81,67.72,62.05
Agilent Technologies,Industrial Goods,61.95,28,3,71.12,53.47,70.53,46.28,57.37,52.84,74.15
salesforce.com,Software,61.91,29,4,74.53,42.95,56.39,50.53,50.87,52.84,87.46
Amazon,Retail,61.74,30,1,46.02,76.52,51.78,93.25,47.09,39.99,65.22
Exelon Corp,Utilities,61.65,31,1,69.05,47.4,60.18,48.62,60.79,56.56,79.08
Varian Medical Systems,Health Care Equipment & Services,61.63,32,2,52.4,76.52,56.25,44.25,59.99,64.0,65.51
Merck & Co,Pharmaceuticals & Biotech,61.6,33,2,85.79,65.0,64.88,45.91,48.51,47.33,67.44
Cigna Corp,Health Care Providers,61.37,34,3,72.89,58.73,58.06,49.8,54.07,67.72,64.37
Facebook,Internet,61.31,35,2,14.67,38.82,54.79,94.4,59.15,56.56,88.15
Owens Corning,Building Materials & Packaging,61.3,36,1,75.62,51.45,66.48,45.4,66.58,52.84,70.51
Ford Motor,Automobiles & Parts,61.25,37,2,86.68,67.83,55.09,60.18,48.88,31.22,70.97
Intuit,Software,61.21,38,5,66.24,44.37,56.29,45.35,57.39,52.84,87.61
Nike,Household Goods & Apparel,61.17,39,1,74.63,64.91,70.44,52.98,44.7,45.4,66.58
Nielsen Holdings,Media,61,40,1,76.01,58.12,55.39,45.82,48.02,52.84,76.04
Johnson Controls,Commercial Support Services,60.79,41,2,84.79,48.21,66.78,49.36,43.57,52.84,72.24
Autodesk,Software,60.77,42,6,62.49,61.76,66.57,47.38,45.8,52.84,72.49
Visa,Consumer & Diversified Finance,60.77,43,2,37.97,72.49,77.35,50.97,73.43,40.54,66.17
Verizon Communications,Telecommunications,60.73,44,2,63.64,59.84,54.33,63.15,54.27,52.84,69.02
PayPal,Commercial Support Services,60.68,45,3,46.74,70.87,51.93,46.71,57.29,52.84,76.58
Edwards Lifesciences,Health Care Equipment & Services,60.65,46,3,74.76,52.66,66.42,46.64,69.07,59.91,61.82
ConocoPhillips,Oil & Gas,60.45,47,1,80.73,49.63,55.52,41.66,59.3,56.56,73.9
Xerox,Commercial Support Services,60.43,48,4,79.81,72.69,81.18,46.82,52.64,52.84,46.23
Caterpillar,Commercial Vehicles & Machinery,60.38,49,1,71.81,63.59,74.93,47.35,58.33,52.84,57.09
Baxter International,Health Care Equipment & Services,60.26,50,4,78.31,56.5,70.06,47.84,59.93,51.73,61.29
HP Inc,Technology Hardware,60.21,51,3,47.76,66.63,57.47,46.03,66.72,44.66,76.42
Anthem,Health Care Providers,60.17,52,4,68.19,46.2,56.31,53.51,64.24,67.72,66.21
Target,Retail,60.16,53,2,73.94,67.24,72.85,74.05,55.9,40.57,48.61
Principal Financial Group,Insurance,59.97,54,2,58.69,62.77,55.41,46.87,56.0,52.84,72.85
Delta Air Lines,Transportation,59.89,55,2,76.12,52.58,61.95,56.23,52.46,52.84,65.4
Fluor,Industrial Goods,59.88,56,4,76.57,60.55,54.52,52.14,70.74,52.84,59.33
Hilton Worldwide,Restaurants & Leisure,59.81,57,1,79.86,67.99,59.78,52.97,56.3,52.84,53.92
Eli Lilly & Co,Pharmaceuticals & Biotech,59.8,58,3,60.48,47.4,65.57,45.41,51.11,42.19,85.67
JLL Inc,Real Estate,59.55,59,1,59.72,50.64,54.53,53.55,55.85,52.84,76.56
Metlife,Insurance,59.49,60,3,67.2,62.57,68.75,46.47,36.36,52.84,67.09
Medtronic,Health Care Equipment & Services,59.38,61,5,72.3,55.29,73.05,49.01,52.94,32.57,72.58
Northrop Grumman,Aerospace & Defense,59.28,62,1,67.28,44.16,69.3,55.3,63.85,49.12,67.82
Hewlett Packard Enterprise,Computer Services,59.15,63,2,85.38,58.74,57.0,47.77,55.72,52.84,59.64
Chevron,Oil & Gas,59.11,64,2,69.95,49.43,51.71,45.46,58.88,56.56,73.51
Altria Group,Food,46.43,667,22,69.27,54.86,71.95,45.87,72.09,30.15,70.32
Maxim Integrated Products,Semiconductors & Equipment,59,65,4,58.78,61.57,77.21,40.57,71.18,52.84,56.47
Johnson & Johnson,Pharmaceuticals & Biotech,58.94,66,4,75.53,67.35,69.47,48.96,57.78,3.1,78.39
DowDuPont,Chemicals,58.91,67,1,77.32,51.45,42.19,47.63,59.99,49.12,75.91
eBay,Retail,58.9,68,3,56.72,57.53,57.13,46.37,51.84,52.84,73.8
Zillow Group,Real Estate,58.87,69,2,42.97,46.6,51.85,58.41,44.63,52.84,86.61
Hartford Financial,Insurance,58.73,70,4,57.42,61.96,55.4,44.3,65.81,52.84,66.94
First Solar,Semiconductors & Equipment,58.71,71,5,67.56,53.07,77.84,43.45,56.0,60.28,56.47
Boeing,Aerospace & Defense,58.66,72,2,68.84,48.21,52.36,59.2,58.1,50.63,69.63
Rockwell Automation,Commercial Vehicles & Machinery,58.57,73,2,64.62,52.66,75.55,44.87,54.63,52.84,62.74
Travelers Cos,Insurance,58.47,74,5,64.89,52.66,51.01,47.25,65.15,52.84,70.37
Akamai Technologies,Internet,58.42,75,3,52.41,60.14,56.99,52.14,53.47,56.56,66.35
Advanced Micro Devices,Semiconductors & Equipment,58.31,76,6,66.88,53.67,74.23,44.01,47.06,52.84,63.6
Symantec,Software,58.28,77,7,83.32,46.58,57.08,43.34,45.33,52.84,71.25
Bank Of New York Mellon,Capital Markets,58.25,78,1,54.51,59.94,83.33,47.44,47.65,52.84,57.62
Kellogg,Food,58.22,79,2,71.03,65.04,55.37,46.38,68.41,40.19,62.35
Cummins,Commercial Vehicles & Machinery,58.18,80,3,60.74,48.62,78.28,49.61,53.7,47.8,65.23
Bank of America,Banks,58.17,81,1,75.03,41.07,72.26,65.27,49.58,37.33,67.31
ExxonMobil,Oil & Gas,58.14,82,3,64.7,47.81,46.57,46.73,56.71,56.56,75.75
Alliance Data Systems,Commercial Support Services,58.12,83,5,54.65,62.57,54.52,52.74,52.9,52.84,65.79
Campbell Soup,Food,58.11,84,3,67.21,64.0,69.39,44.25,72.08,48.38,52.05
FedEx Corp,Transportation,58,85,3,71.35,61.57,71.06,76.43,58.69,48.75,38.99
Southwest Airlines,Transportation,57.99,86,4,57.41,54.45,53.46,53.33,59.39,52.84,67.98
Nutanix,Software,57.97,87,8,41.87,50.23,51.86,94.87,39.39,52.84,64.57
Abbott Laboratories,Pharmaceuticals & Biotech,57.97,88,5,78.85,64.8,70.22,44.65,69.69,20.01,62.7
PepsiCo,Food,57.94,89,4,85.3,61.63,54.02,59.33,64.06,27.41,60.73
Amgen,Pharmaceuticals & Biotech,57.88,90,6,66.87,49.02,69.65,46.05,56.21,42.43,69.67
Freeport-McMoran,Basic Resources,57.87,91,1,95.84,40.33,54.34,44.53,65.42,52.84,62.84
General Electric,Industrial Goods,57.82,92,5,83.45,59.08,49.29,53.8,51.39,36.47,66.9
Xylem,Commercial Vehicles & Machinery,57.78,93,4,71.94,53.07,77.83,44.73,75.0,52.84,48.27
Micron Technology,Semiconductors & Equipment,57.78,94,7,67.2,52.26,56.26,43.85,64.09,52.84,66.11
Ingersoll-Rand,Commercial Vehicles & Machinery,57.77,95,5,77.14,47.81,73.95,47.15,47.41,44.66,64.45
Juniper Networks,Technology Hardware,57.76,96,4,66.76,53.07,57.09,44.46,51.34,52.84,69.11
Allstate,Insurance,57.71,97,6,57.08,61.16,55.41,48.38,51.28,52.84,66.31
Bristol Myers Squibb,Pharmaceuticals & Biotech,57.57,98,7,66.59,53.52,66.53,46.09,48.31,43.42,68.93
Teradata,Computer Services,57.55,99,3,72.54,58.52,56.26,43.8,55.28,52.84,61.34
Comerica,Banks,57.53,100,2,56.9,61.16,70.33,43.75,59.35,52.84,57.49
PVH Corp,Household Goods & Apparel,57.52,101,2,75.03,58.54,79.01,46.79,47.11,56.56,47.31
Walt Disney,Media,57.49,102,2,70.44,58.13,54.56,65.08,51.15,40.56,61.24
Qualcomm,Semiconductors & Equipment,57.46,103,8,83.19,50.64,63.41,46.71,42.85,36.24,70.67
State Street Corp,Capital Markets,57.4,104,2,72.64,55.69,68.77,47.64,37.41,52.84,60.18
American Express,Consumer & Diversified Finance,57.36,105,3,61.09,45.21,66.42,46.67,54.93,46.1,72.42
Regeneron Pharmaceutical,Pharmaceuticals & Biotech,57.25,106,8,53.93,52.66,55.37,64.59,47.08,56.56,63.06
Deere & Co,Commercial Vehicles & Machinery,57.24,107,6,48.0,60.36,52.2,46.27,67.1,44.66,71.19
Marriott International,Restaurants & Leisure,57.21,108,2,65.83,58.65,54.82,60.46,51.58,52.84,56.52
T-Mobile US,Telecommunications,57.21,109,3,52.13,67.63,46.44,55.24,39.73,52.84,66.84
Legg Mason,Capital Markets,57.19,110,3,58.71,62.57,54.54,44.52,58.15,52.84,62.55
JPMorgan Chase & Co,Banks,57.15,111,3,63.41,37.72,76.79,65.78,57.13,31.28,69.05
Equinix,Real Estate,57.12,112,3,47.28,48.62,52.75,49.19,47.08,52.84,79.47
Baker Hughes GE,Energy Equipment & Services,57.1,113,1,60.39,47.4,57.19,44.56,48.71,52.84,74.01
Sage Therapeutics,Pharmaceuticals & Biotech,57.06,114,9,38.57,42.95,52.37,94.65,43.69,56.56,63.73
Agios Pharmaceuticals,Pharmaceuticals & Biotech,57.03,115,10,45.17,50.15,53.39,75.89,50.67,56.56,62.02
Bluebird Bio,Pharmaceuticals & Biotech,57,116,11,38.57,50.15,51.71,94.68,54.2,56.56,55.21
Tesaro,Pharmaceuticals & Biotech,57,117,12,40.22,50.15,52.77,94.71,46.27,56.56,56.53
Starbucks,Restaurants & Leisure,56.96,118,3,53.3,66.63,54.45,73.96,52.31,23.13,65.94
Avery Dennison,Chemicals,56.92,119,2,70.86,51.04,67.47,44.98,66.08,49.12,57.04
Hasbro,Household Goods & Apparel,56.9,120,3,77.71,48.21,49.27,44.07,58.19,56.56,64.17
Oracle,Software,56.89,121,9,56.93,66.22,58.03,50.21,42.85,52.84,59.91
Exact Sciences,Pharmaceuticals & Biotech,56.84,122,13,41.87,49.83,54.39,94.79,52.79,56.56,52.37
Workday,Software,56.81,123,10,64.69,46.19,55.38,52.2,38.53,52.84,72.34
Analog Devices,Semiconductors & Equipment,56.76,124,9,69.95,51.45,53.4,44.79,55.51,52.84,65.2
Applied Materials,Semiconductors & Equipment,56.75,125,10,61.82,51.04,76.85,45.6,60.47,52.84,54.75
Zendesk,Software,56.73,126,11,52.23,36.28,51.85,74.92,61.11,52.84,67.7
Stanley Black & Decker,Household Goods & Apparel,56.71,127,4,70.53,61.06,74.38,47.85,60.09,35.73,54.02
CBRE Group,Real Estate,56.68,128,4,71.32,45.38,54.51,47.62,64.38,52.84,63.74
Ultimate Software,Software,56.63,129,12,54.17,43.57,51.84,59.07,35.82,52.84,77.42
Pfizer,Pharmaceuticals & Biotech,56.63,130,14,67.48,58.99,63.51,49.96,46.62,36.27,65.2
Citigroup,Banks,56.57,131,4,69.84,40.65,65.23,51.51,52.95,36.24,73.34
Mastercard,Consumer & Diversified Finance,56.5,132,4,46.06,60.87,53.65,48.42,62.79,36.24,73.18
American Intl Group,Insurance,56.41,133,7,60.38,60.14,50.14,49.49,54.61,52.84,61.39
NiSource,Utilities,56.36,134,2,52.34,53.07,52.26,46.68,69.22,56.56,63.02
Best Buy,Retail,56.35,135,4,70.94,59.55,71.14,58.74,57.03,51.16,41.72
Emerson Electric,Industrial Goods,56.34,136,6,76.44,61.36,52.53,46.87,52.54,48.75,56.41
Cardinal Health,Food & Drug Retailers,56.28,137,1,57.63,58.12,76.77,48.61,60.46,39.49,55.97
Raytheon,Aerospace & Defense,56.23,138,3,24.34,53.07,52.67,50.41,60.87,49.12,79.64
Lincoln National,Insurance,56.19,139,8,48.79,59.74,67.96,45.31,54.13,52.84,58.74
Lam Research,Semiconductors & Equipment,56.13,140,11,60.86,53.47,51.86,45.11,55.88,52.84,65.66
Schwab,Capital Markets,56.09,141,4,46.98,73.1,51.87,48.63,49.08,52.84,57.96
Walmart,Retail,56.08,142,5,76.54,64.6,71.51,75.33,41.74,26.54,45.71
Whirlpool,Household Goods & Apparel,56.08,143,5,61.95,62.08,57.69,46.26,44.15,43.91,64.34
Kohls Corp,Retail,55.98,144,6,62.73,58.13,74.83,62.31,66.48,52.84,36.96
Expedia Group,Restaurants & Leisure,55.76,145,4,45.0,55.49,47.43,47.06,45.08,49.12,76.66
American Electric Power,Utilities,55.6,146,3,54.21,49.43,26.13,45.69,60.27,56.56,78.73
Ball Corp,Building Materials & Packaging,55.57,147,2,62.86,51.04,66.22,44.21,38.66,52.84,62.89
Mettler Toledo,Industrial Goods,55.54,148,7,62.16,59.74,75.89,47.62,62.0,52.84,42.46
Abbvie,Pharmaceuticals & Biotech,55.51,149,15,66.55,47.4,57.03,48.58,55.91,41.26,67.38
On Semiconductor,Semiconductors & Equipment,55.46,150,12,80.06,47.81,62.84,46.61,54.5,52.84,52.67
Prologis,Real Estate,55.44,151,5,64.98,44.16,57.18,43.66,50.67,52.84,67.36
Regions Financial Corp,Banks,55.41,152,5,55.6,62.37,55.35,45.98,62.87,52.84,54.09
Becton Dickinson,Health Care Equipment & Services,55.41,153,6,63.38,43.16,72.22,48.86,53.25,59.91,53.26
Vectren,Utilities,55.37,154,4,50.97,50.64,63.5,44.64,63.7,56.56,58.3
Aflac,Insurance,55.37,155,9,48.81,65.2,53.66,45.78,54.86,52.84,58.47
Voya Financial,Capital Markets,55.36,156,5,58.02,51.25,73.62,43.66,56.39,52.84,54.58
Lockheed Martin,Aerospace & Defense,55.35,157,4,56.39,57.71,55.03,54.91,52.03,45.08,60.7
Valvoline,Automobiles & Parts,55.34,158,3,53.07,67.42,51.43,45.65,59.06,52.84,54.77
Twitter,Internet,55.31,159,4,18.74,59.94,51.75,51.31,50.4,56.56,72.55
Leidos Holdings,Computer Services,55.27,160,4,47.3,56.9,68.02,45.66,53.67,52.84,57.62
Netflix,Retail,55.24,161,7,40.77,64.2,49.57,47.5,50.65,52.84,64.8
Centerpoint Energy,Utilities,55.22,162,5,63.26,53.07,43.25,45.21,63.7,56.56,60.85
Hershey Company,Food,55.19,163,5,64.47,63.57,68.72,46.13,61.05,32.75,53.87
Goldman Sachs,Capital Markets,55.06,164,6,46.16,44.57,80.48,47.13,32.6,36.24,75.53
Sempra Energy,Utilities,55.02,165,6,71.49,49.3,45.41,44.18,61.78,56.56,59.19
Zimmer Biomet,Health Care Equipment & Services,55.02,166,7,52.89,48.21,63.97,45.58,44.58,64.0,58.95
Pioneer Natural Resources,Oil & Gas,55,167,4,42.97,48.21,42.05,44.67,62.64,56.56,73.47
International Flavors & Fragrances,Chemicals,54.97,168,3,70.64,45.78,67.09,44.23,60.55,49.12,55.33
Albemarle,Chemicals,54.95,169,4,59.33,52.66,51.53,44.42,53.14,49.12,65.7
Cognizant Tech Solutions,Computer Services,54.92,170,5,55.45,48.21,57.98,55.1,42.17,52.84,63.23
Electronic Arts,Household Goods & Apparel,54.9,171,6,38.57,59.14,52.72,43.28,50.73,52.84,68.4
ServiceNow,Computer Services,54.9,172,6,38.57,76.52,51.85,53.48,43.42,52.84,53.81
Illumina,Pharmaceuticals & Biotech,54.87,173,16,48.07,52.66,54.47,47.49,50.38,56.56,63.72
Devon Energy,Oil & Gas,54.85,174,5,46.28,47.81,54.19,41.69,51.06,56.56,70.66
Alcoa Corporation,Basic Resources,54.79,175,2,69.16,64.4,37.34,40.15,73.09,52.84,53.1
Aptiv,Automobiles & Parts,54.75,176,4,57.86,54.47,42.29,44.49,52.11,52.84,67.13
Union Pacific,Transportation,54.72,177,5,53.44,53.47,53.8,48.6,59.67,52.84,59.15
VF Corp,Household Goods & Apparel,54.65,178,7,66.74,59.68,58.61,50.06,65.54,45.4,47.89
Eversource Energy,Utilities,54.65,179,7,62.92,49.3,51.25,43.75,59.54,56.56,59.29
Nordstrom,Retail,54.64,180,8,72.3,56.23,53.57,55.22,53.63,52.84,47.51
Hess Corp,Oil & Gas,54.6,181,6,72.72,56.1,37.93,41.31,49.77,56.56,61.36
Jabil,Industrial Goods,54.59,182,8,65.72,53.47,67.29,48.27,48.14,52.84,50.23
Morgan Stanley,Capital Markets,54.56,183,7,62.61,52.26,57.12,49.67,31.77,40.94,69.31
CME Group,Capital Markets,54.54,184,8,56.39,51.45,51.0,44.92,53.45,52.84,63.88
Thermo Fisher Scientific,Health Care Equipment & Services,54.53,185,8,49.03,53.07,57.02,52.54,46.87,64.0,54.59
Apache Corp,Oil & Gas,54.49,186,7,77.61,52.26,38.81,43.49,54.76,56.56,58.36
Pure Storage,Technology Hardware,54.48,187,5,44.91,42.95,44.8,87.97,45.91,52.84,59.16
Guidewire Software,Software,54.45,188,13,41.87,60.14,51.84,53.19,42.02,52.84,62.83
Ecolab,Chemicals,54.4,189,5,79.95,52.26,59.96,47.12,55.24,49.12,48.38
CMS Energy,Utilities,54.35,190,8,62.42,51.45,42.59,45.25,65.19,56.56,58.67
Intercontinental Exchange,Capital Markets,54.35,191,9,48.83,61.76,53.63,43.93,67.11,52.84,53.63
Occidental Petroleum,Oil & Gas,54.34,192,8,65.48,47.81,37.17,43.04,62.52,56.56,64.69
Corning,Technology Hardware,54.34,193,6,60.39,50.23,50.52,48.42,54.06,36.24,70.26
Wayfair,Household Goods & Apparel,54.3,194,8,51.56,51.45,49.23,95.3,49.37,52.84,42.42
ManpowerGroup,Commercial Support Services,54.29,195,6,64.85,50.5,73.73,44.32,66.91,52.84,43.91
Marathon Oil,Oil & Gas,54.29,196,9,67.06,52.66,46.47,40.82,59.99,56.56,57.41
Newmont Mining,Basic Resources,54.28,197,3,61.72,50.64,30.38,44.79,71.64,52.84,65.91
CVS Health,Food & Drug Retailers,54.27,198,2,79.98,58.13,57.15,74.5,55.05,50.69,30.76
Godaddy,Internet,54.25,199,5,56.38,39.11,51.84,48.45,49.99,56.56,68.32
Concho Resources,Oil & Gas,54.2,200,10,38.57,53.07,41.27,48.47,46.53,56.56,72.47
Teradyne,Semiconductors & Equipment,54.13,201,13,54.43,46.59,65.25,44.43,56.23,52.84,58.44
Alaska Air Group,Transportation,54.13,202,6,62.33,54.69,53.99,49.85,72.4,52.84,47.09
Marsh & Mclennan,Insurance,54.12,203,10,49.39,52.86,53.6,49.54,63.29,52.84,57.35
T Rowe Price,Capital Markets,54.1,204,10,37.29,64.6,42.34,47.24,58.28,52.84,62.75
TD Ameritrade,Capital Markets,54.1,205,11,66.32,54.78,50.98,46.44,50.95,52.84,55.5
CDW Corporation,Computer Services,54.1,206,7,53.78,52.66,48.36,46.69,67.28,52.84,58.29
HCA Healthcare,Health Care Providers,54.09,207,5,46.15,41.14,52.49,76.31,54.99,67.72,48.36
F5 Networks,Technology Hardware,54.07,208,7,52.89,48.62,47.41,44.68,55.83,52.84,66.71
United Rentals,Commercial Support Services,54.03,209,7,43.36,51.85,75.56,46.53,75.57,52.84,46.32
Square,Software,54.02,210,14,30.45,43.76,51.85,94.93,43.67,44.66,61.4
Sysco Corp,Food & Drug Retailers,54,211,3,62.84,44.16,50.92,50.18,62.15,56.56,56.51
Illinois Tool Works,Commercial Vehicles & Machinery,53.94,212,7,67.28,49.43,67.99,45.74,55.02,52.84,48.43
Texas Capital Bancshares,Banks,53.9,213,6,46.75,51.85,53.63,51.06,60.64,52.84,58.42
Walgreens Boots Alliance,Food & Drug Retailers,53.88,214,4,66.02,57.12,61.68,74.67,45.7,43.41,40.86
Nasdaq,Capital Markets,53.88,215,12,53.78,60.95,54.5,44.42,56.04,52.84,53.12
WW Grainger,Commercial Support Services,53.87,216,8,63.95,47.0,55.36,44.75,51.61,52.84,59.5
Intuitive Surgical,Health Care Equipment & Services,53.87,217,9,42.61,39.11,50.07,46.74,52.69,64.0,69.2
LPL Financial,Capital Markets,53.82,218,13,45.73,67.42,51.0,46.81,65.86,52.84,49.15
Red Hat,Software,53.78,219,15,42.43,55.29,51.85,47.87,61.97,52.84,59.39
Verisk Analytics,Commercial Support Services,53.77,220,9,50.49,63.19,51.85,46.0,57.79,52.84,52.53
Noble Energy,Oil & Gas,53.77,221,11,58.6,53.07,49.47,41.39,56.51,56.56,57.99
Automatic Data Processing,Commercial Support Services,53.75,222,10,52.49,58.52,54.5,50.72,58.0,52.84,51.11
Viacom,Media,53.7,223,3,56.05,56.12,52.76,45.35,52.34,52.84,56.52
Gap Inc,Retail,53.7,224,9,53.78,58.42,57.92,58.98,47.79,52.84,47.94
Lear Corp,Automobiles & Parts,53.68,225,5,48.46,50.64,62.92,46.91,62.95,52.84,54.07
Domtar Corporation,Basic Resources,53.65,226,4,67.29,49.83,58.08,44.85,61.42,52.84,50.44
Phillips 66,Oil & Gas,53.61,227,12,51.52,47.4,43.21,44.49,53.38,56.56,67.22
Paycom Software,Software,53.61,228,16,38.57,50.39,52.73,69.22,54.8,52.84,55.25
Dominion Energy,Utilities,53.59,229,9,65.62,50.64,27.36,45.36,64.59,56.56,62.84
Entergy,Utilities,53.56,230,10,58.7,47.0,33.44,44.84,62.01,56.56,66.26
SunTrust Banks,Banks,53.55,231,7,52.86,69.66,43.88,45.9,48.36,52.84,53.26
Citrix Systems,Software,53.54,232,17,54.07,60.95,52.7,46.24,44.17,52.84,55.54
Zoetis,Pharmaceuticals & Biotech,53.52,233,17,46.4,53.07,53.42,44.34,56.13,56.56,58.87
Comcast,Media,53.51,234,4,52.33,41.29,52.68,68.09,51.9,50.17,58.49
Motorola Solutions,Technology Hardware,53.47,235,8,33.72,56.71,69.75,42.79,56.66,52.84,55.82
Affiliated Managers Group,Capital Markets,53.45,236,14,51.92,60.95,50.09,53.26,52.23,52.84,51.37
Fortune Brands Home & Security,Building Materials & Packaging,53.45,237,3,49.32,50.23,45.66,47.47,62.61,52.84,61.89
Western Digital Corp,Technology Hardware,53.41,238,9,71.35,57.52,49.84,45.66,57.55,52.84,47.35
Netapp,Technology Hardware,53.38,239,10,51.92,49.83,50.03,43.97,55.26,52.84,62.62
BB&T Corp,Banks,53.35,240,8,38.57,60.75,53.62,47.2,43.02,52.84,61.05
Tripadvisor,Restaurants & Leisure,53.33,241,5,40.58,58.53,47.43,51.44,40.69,49.12,65.77
Synchrony Financial,Consumer & Diversified Finance,53.27,242,5,44.09,51.45,50.11,52.69,61.86,52.84,57.9
IHS Markit,Consumer & Diversified Finance,53.21,243,6,56.48,45.78,54.51,45.93,39.27,52.84,64.84
Alnylam Pharmaceuticals,Pharmaceuticals & Biotech,53.19,244,18,43.25,53.07,52.26,52.93,41.27,56.56,60.15
Cabot,Chemicals,53.18,245,6,50.4,49.02,45.12,44.16,48.15,49.12,70.03
Laboratory Corp of America,Health Care Providers,53.15,246,6,56.17,52.66,51.8,51.8,59.24,67.72,43.0
Eastman Chemical,Chemicals,53.14,247,7,64.61,53.47,21.04,45.4,55.81,49.12,69.94
Lowe's Cos,Retail,53.14,248,10,66.37,62.38,66.65,76.55,68.63,28.29,31.71
Arista Networks,Internet,53.11,249,6,51.71,51.85,46.58,51.92,51.31,56.56,57.18
ONEOK Inc,Energy Equipment & Services,53.09,250,2,54.5,57.31,31.31,47.94,65.83,52.84,59.29
Royal Caribbean Cruises,Restaurants & Leisure,53.07,251,6,65.15,52.46,55.55,45.63,53.17,37.38,59.86
Nextera Energy,Utilities,53.05,252,11,62.89,51.45,25.38,45.12,58.38,56.56,64.41
JM Smucker,Food,53.04,253,6,50.72,64.61,46.38,44.39,54.86,40.19,60.46
Air Products & Chemicals,Chemicals,53.03,254,8,76.63,35.06,40.39,42.7,67.76,49.12,64.78
Exelixis,Pharmaceuticals & Biotech,53.03,255,19,41.87,50.15,53.63,54.24,50.82,56.56,57.65
Synopsys,Software,53.01,256,18,49.95,43.16,54.54,46.94,49.49,52.84,64.81
Capital One Financial,Consumer & Diversified Finance,53,257,7,45.29,41.14,56.86,52.61,47.07,52.84,65.04
Eaton Vance,Capital Markets,52.98,258,15,38.57,52.06,50.11,47.34,63.37,52.84,60.8
Keycorp,Banks,52.97,259,9,59.22,50.84,55.38,44.85,51.98,52.84,54.95
Huntington Bancshares,Banks,52.95,260,10,55.44,63.38,55.34,45.28,65.46,52.84,42.89
Avangrid,Utilities,52.91,261,12,64.46,49.3,43.88,44.21,39.77,56.56,61.65
Anadarko Petroleum,Oil & Gas,52.88,262,13,51.61,49.02,35.76,42.66,44.5,56.56,70.73
EQT Corporation,Oil & Gas,52.85,263,14,49.03,49.83,46.52,46.43,50.94,56.56,61.57
McCormick & Co,Food,52.85,264,7,58.39,65.62,54.4,46.07,67.14,40.19,46.59
DTE Energy,Utilities,52.84,265,13,58.96,49.83,42.18,45.38,54.98,56.56,58.68
Seattle Genetics,Pharmaceuticals & Biotech,52.82,266,20,41.87,46.19,52.66,53.48,46.7,56.56,61.88
Costco Wholesale,Retail,52.81,267,11,49.78,67.42,48.07,67.13,52.47,35.36,49.43
Graham Holdings,Media,52.79,268,5,40.45,67.42,51.8,45.27,39.38,52.84,56.3
Palo Alto Networks,Software,52.79,269,19,41.03,52.66,46.53,53.19,42.26,52.84,64.45
Henry Schein,Health Care Equipment & Services,52.77,270,10,47.01,53.0,50.12,48.19,57.85,64.0,50.45
